14,"4U2C SIGNS",T-4U210
15,"600SA HOLDINGS (PTY) LTD",T-600
16,"A AND A DYNAMIC DISTRIBUTORS",T-AAD10
17,"A A DOORS",T-AAD20
18,"ABEDDAC BAGS (PTY) LTD",T-ABE10
19,"ACE BEARINGS BELTS CC",T-ACE10
20,"ADVANCED COMPRESSOR TECHNOLOGY CC",T-ACT10
21,"ADCOR FAN SERVICES",T-ADC10
22,"ADENDORFF MACHINERY MART",T-ADE10
23,"ADENDORFFS ACCOUNTING AND FORENSICS",T-ADE20
24,"ANANZI DOORS (PTY) LTD",T-ADI20
25,"AAD COMMERCIAL PARTS (PTY) LTD t/a AD MASTERPARTS",T-ADM10
26,"A & D GENERAL SERVICES CC",T-ADS10
27,"ADX SECURITY DOORS & SAFE ENGINEERS",T-ADX10
28,"AUTOMOTIVE EQUIPMENT INTERNATIONAL (PTY) LTD",T-AEI10
29,"AFROX OXYGEN LIMITED",T-AFR10
30,"GRINDING POWER",T-AFR30
31,"AFRICAN ELECTROPLATING",T-AFR40
32,"AFRIPUMPS (PTY)LTD",T-AFR50
33,"AFI GROUND HYDRAULICS MNF PTY LTD",T-AGH10
34,"ALISTAIR GARDEN SERVICES PTY LTD",T-AGS10
35,"AJAY INVESTMENTS",T-AJA10
36,"AJM RADIO AND CONTROLS",T-AJM10
37,"A.J.M ENGINEERING (PTY) LTD",T-AJM20
38,"A.J. PANELBEATERS & SPRAYPAINT",T-AJP10
39,"A & J SERVICES",T-AJS10
40,"ALFRED H. KNIGHT",T-ALF20
41,"ALLIED DISTRIBUTORS (PTY) LTD",T-ALL30
42,"ALL ABOUT AIR",T-ALL40
43,"ALL SECURE",T-ALL50
44,"A. LOEWENTHAL METALS",T-ALM10
45,"ALTEILE CC",T-ALT10
46,"AMALGAMATED PANELBEATERS",T-AMA10
47,"AMBRO STEEL",T-AMB10
48,"AMS SA (Pty) Ltd",T-AMS10
49,"Angela Print",T-ANG10
50,"ANGLO AFRICAN OUTSTAFFING (PTY) LTD",T-ANG30
51,ANROPA,T-ANR10
52,"ARIYAH  PROPERTIES (PTY) LTD",T-APH10
53,"APPLIED MAGNETS (PTY) LTD",T-APP10
54,"APPLIED HEAT",T-APP20
55,"ALPHA POWER SOLUTIONS CC",T-APS10
56,"AQUA MARINE PLUMBING",T-AQU10
57,"ARB ELECTRICAL WHOLESALERS (PTY) LTD",T-ARB10
58,"ATTACHMENT REPAIR COMPANY",T-ARC20
59,"ARGON ARC WELDING SUPPLIES",T-ARG10
60,"ARRAN ACCESS",T-ARR10
61,"Artisan Training Institute",T-ART10
62,"ATLAS INDUSTRIAL SYSTEMS",T-ATL10
63,"ATLAS COPCO SOUTH AFRICA",T-ATL20
64,"ATLAS MASJIENE (PTY) LTD",T-ATL30
65,"AUTO & TRUCK TYRE",T-ATT10
66,"AUC1OR - BLOEMFONTEIN",T-AUC10
67,"AUCTION- RYNCOR CC",T-AUC20
68,"AUCTION- ASSMANG IRON ORE",T-AUC30
69,"AUCTION-GOINDUSTRY DOVEBID",T-AUC40
70,"AUCTION - TSHIKONDENI",T-AUC55
71,"AUTO TRIM",T-AUT11
72,AVERDA,T-AVE10
73,"AVLOCK INTERNATIONAL (PTY) LTD",T-AVI10
74,"ALVERN CABLE (PTY) LTD",T-AVL10
75,"BELEZA T/A AUTOBOYS CONSTANTIA",T-BAC10
76,"BAKEBERGS BLINDS CC",T-BAK10
77,"BALANCING TECHNIQUE (PTY) LTD",T-BAL10
78,"BHBW SOUTH AFRICA (PTY) LTD",T-BAR10
79,"BARLOWORLD EQUIPMENT CAT",T-BAR20
80,"BARLOWORLD POWER",T-BAR30
81,"BATTERY CENTRE",T-BAT10
82,"BAVARIA SAFETY FOOTWEAR",T-BAV10
83,"BIG DUTCHMAN",T-BDM10
84,"BEARING MAN GROUP",T-BEA30
85,"BEKKER BATTERY CENTRE CC",T-BEK10
86,"BELTING SUPPLY SERVICES",T-BEL10
87,"BENE DEVELOPMENT",T-BEN10
88,"Berkowitz Attorneys",T-BER10
89,"BEUCOR BELEGGINGS T/A BG INDUSTRIAL",T-BEU10
90,"BOSS GEARCUTTING & ENGINEERING",T-BGE10
91,"BIDVEST AFCOM (PTY) LTD",T-BID10
