2025-06-24 10:23:12,046 | INFO | Database initialized successfully.
2025-06-24 10:23:12,046 | INFO | ✅ Database initialized successfully.
2025-06-24 10:23:23,581 | INFO | Requesters fetched: 8 items
2025-06-24 10:23:23,583 | INFO | Suppliers fetched: 805 items
2025-06-24 10:23:30,863 | INFO | Requesters fetched: 8 items
2025-06-24 10:23:30,866 | INFO | Suppliers fetched: 805 items
2025-06-24 10:23:35,622 | INFO | Generating PDF for order_id=230, order_number=1014
2025-06-24 10:23:40,951 | INFO | Requesters fetched: 8 items
2025-06-24 10:23:40,954 | INFO | Suppliers fetched: 805 items
2025-06-24 10:27:48,112 | INFO | Requesters fetched: 8 items
2025-06-24 10:27:48,115 | INFO | Suppliers fetched: 805 items
2025-06-24 10:33:51,403 | INFO | Suppliers fetched: 805 items
2025-06-24 10:33:51,410 | INFO | Requesters fetched: 8 items
2025-06-24 10:34:11,688 | INFO | Requesters fetched: 8 items
2025-06-24 10:34:11,691 | INFO | Suppliers fetched: 805 items
2025-06-24 10:34:40,355 | INFO | ✅ [RECEIPT_LOGS] Success fetched: 0 logs for order 230
2025-06-24 10:38:09,307 | INFO | Database initialized successfully.
2025-06-24 10:38:09,307 | INFO | ✅ Database initialized successfully.
2025-06-24 10:38:12,915 | INFO | ✅ [ORDER] Success deleted: Order 230 marked as Deleted
2025-06-24 10:38:50,536 | INFO | Database initialized successfully.
2025-06-24 10:38:50,536 | INFO | ✅ Database initialized successfully.
2025-06-24 10:38:56,569 | INFO | Requesters fetched: 8 items
2025-06-24 10:38:56,572 | INFO | Suppliers fetched: 805 items
2025-06-24 10:39:00,255 | INFO | ✅ [ORDER] Success deleted: Order 229 marked as Deleted
2025-06-24 10:39:04,056 | INFO | Requesters fetched: 8 items
2025-06-24 10:39:04,059 | INFO | Suppliers fetched: 805 items
2025-06-24 10:39:04,076 | INFO | ✅ [AUDIT_TRAIL_ORDERS] Success fetched: 14 total orders for audit trail
2025-06-24 10:39:12,457 | INFO | ✅ [RECEIPT_LOGS] Success fetched: 0 logs for order 230
2025-06-24 12:54:59,530 | INFO | Requesters fetched: 8 items
2025-06-24 12:54:59,533 | INFO | Suppliers fetched: 805 items
2025-06-24 12:55:07,066 | INFO | Suppliers fetched: 805 items
2025-06-24 12:55:10,894 | INFO | Items fetched: 9985 items
2025-06-24 13:06:08,579 | INFO | Items fetched: 9985 items
2025-06-24 13:06:25,956 | INFO | Item 10022 updated: code -> sdcd, description -> dcvdvs
2025-06-24 13:06:51,923 | INFO | Suppliers fetched: 805 items
2025-06-24 13:10:16,244 | INFO | Items fetched: 9985 items
2025-06-24 13:10:37,800 | INFO | Item 35 updated: code -> ABRA001, description -> CUTTING DISC STEEL  28
2025-06-24 13:10:37,815 | INFO | Items fetched: 9985 items
2025-06-24 13:12:27,290 | INFO | Items fetched: 9985 items
2025-06-24 13:12:33,411 | INFO | Item 35 deleted successfully.
2025-06-24 13:12:33,481 | INFO | Items fetched: 9984 items
2025-06-24 13:12:49,692 | INFO | New item added: peterf - peter f
2025-06-24 13:12:49,708 | INFO | Items fetched: 9985 items
2025-06-24 13:13:42,897 | INFO | New item added: dada - dadadxa
