WARNING:  StatReload detected changes in 'backend/main.py'. Reloading...
INFO:     Shutting down
INFO:     Waiting for application shutdown.
INFO:     Application shutdown complete.
INFO:     Finished server process [81196]
INFO:     Started server process [81985]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Will watch for changes in these directories: ['/Users/stevencohen/Projects/universal_recycling/orders_project/backend']
INFO:     Uvicorn running on http://0.0.0.0:8004 (Press CTRL+C to quit)
INFO:     Started reloader process [82119] using StatReload
INFO:     Started server process [82193]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     127.0.0.1:53996 - "GET /mobile/requisition HTTP/1.1" 200 OK
INFO:     127.0.0.1:53997 - "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:53996 - "GET /static/mobile/js/mobile_requisition.js HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:53996 - "GET /favicon.ico HTTP/1.1" 200 OK
INFO:     127.0.0.1:53999 - "GET /static/mobile/manifest.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:54044 - "GET /mobile/requisition HTTP/1.1" 200 OK
INFO:     127.0.0.1:54044 - "GET /static/mobile/js/mobile_requisition.js HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:54044 - "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:54044 - "GET /favicon.ico HTTP/1.1" 200 OK
INFO:     127.0.0.1:54048 - "GET /static/mobile/manifest.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:54852 - "GET /mobile/requisition HTTP/1.1" 200 OK
INFO:     127.0.0.1:54852 - "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:54853 - "GET /static/mobile/js/authorisations_screen/mobile_requisition.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:54853 - "GET /favicon.ico HTTP/1.1" 200 OK
INFO:     127.0.0.1:54855 - "GET /static/mobile/manifest.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:54921 - "POST /mobile_requisition/submit HTTP/1.1" 200 OK
INFO:     127.0.0.1:54967 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:54967 - "GET /favicon.ico HTTP/1.1" 200 OK
INFO:     127.0.0.1:55001 - "POST /login HTTP/1.1" 200 OK
INFO:     127.0.0.1:55001 - "GET /orders/pending_orders HTTP/1.1" 200 OK
INFO:     127.0.0.1:55001 - "GET /static/js/pending_orders.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55001 - "GET /static/js/components/receive_modal.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55003 - "GET /static/js/components/edit_draft_modal.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55003 - "GET /lookups/requesters HTTP/1.1" 200 OK
INFO:     127.0.0.1:55001 - "GET /lookups/suppliers HTTP/1.1" 200 OK
INFO:     127.0.0.1:55001 - "GET /orders/api/pending_orders HTTP/1.1" 200 OK
INFO:     127.0.0.1:55001 - "GET /requisitions/pending_requisitions HTTP/1.1" 200 OK
INFO:     127.0.0.1:55001 - "GET /static/js/pending_requisitions.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55001 - "GET /static/js/components/requisitions_attachment_modal.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55003 - "GET /static/js/components/expand_requisition_items.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55003 - "GET /lookups/requisitioners HTTP/1.1" 200 OK
INFO:     127.0.0.1:55001 - "GET /favicon.ico HTTP/1.1" 200 OK
INFO:     127.0.0.1:55001 - "GET /api/pending_requisitions HTTP/1.1" 200 OK
INFO:     127.0.0.1:55071 - "GET /api/requisition_items/17 HTTP/1.1" 200 OK
